STATE,YEAR,PARTICIPATION RATE,MEAN SAT I VERBAL,MEAN SAT I MATH
New York,2004,87%,497,510
Connecticut,2004,85%,515,515
Massachusetts,2004,85%,518,523
New Jersey,2004,83%,501,514
New Hampshire,2004,80%,522,521
D.C.,2004,77%,489,476
Maine,2004,76%,505,501
Pennsylvania,2004,74%,501,502
Delaware,2004,73%,500,499
Georgia,2004,73%,494,493
Rhode Island,2004,72%,503,502
Virginia,2004,71%,515,509
North Carolina,2004,70%,499,507
Maryland,2004,68%,511,515
Florida,2004,67%,499,499
Vermont,2004,66%,516,512
Indiana,2004,64%,501,506
South Carolina,2004,62%,491,495
Hawaii,2004,60%,487,514
Oregon,2004,56%,527,528
Alaska,2004,53%,518,514
Texas,2004,52%,493,499
Washington,2004,52%,528,531
California,2004,49%,501,519
Nevada,2004,40%,507,514
Arizona,2004,32%,523,524
Montana,2004,29%,537,539
Ohio,2004,28%,538,542
Colorado,2004,27%,554,553
Idaho,2004,20%,540,539
West Virginia,2004,19%,524,514
Tennessee,2004,16%,567,557
New Mexico,2004,14%,554,543
Kentucky,2004,12%,559,557
Wyoming,2004,12%,551,546
Michigan,2004,11%,563,573
Illinois,2004,10%,585,597
Minnesota,2004,10%,587,593
Alabama,2004,10%,560,553
Kansas,2004,9%,584,585
Louisiana,2004,8%,564,561
Missouri,2004,8%,587,585
Nebraska,2004,8%,569,576
Oklahoma,2004,7%,569,566
Wisconsin,2004,7%,587,596
Utah,2004,7%,565,556
Arkansas,2004,6%,569,555
Iowa,2004,5%,593,602
South Dakota,2004,5%,594,597
Mississippi,2004,5%,562,547
North Dakota,2004,5%,582,601
All Students,2004,48%,508,518
New York,2003,82%,496,510
Connecticut,2003,84%,512,514
Massachusetts,2003,82%,516,522
New Jersey,2003,85%,501,515
New Hampshire,2003,75%,522,521
D.C.,2003,77%,484,474
Maine,2003,70%,503,501
Pennsylvania,2003,73%,500,502
Delaware,2003,73%,501,501
Georgia,2003,66%,493,491
Rhode Island,2003,74%,502,504
Virginia,2003,71%,514,510
North Carolina,2003,68%,495,506
Maryland,2003,68%,509,515
Florida,2003,61%,498,498
Vermont,2003,70%,515,512
Indiana,2003,63%,500,504
South Carolina,2003,59%,493,496
Hawaii,2003,54%,486,516
Oregon,2003,57%,526,527
Alaska,2003,55%,518,518
Texas,2003,57%,493,500
Washington,2003,56%,530,532
California,2003,54%,499,519
Nevada,2003,36%,510,517
Arizona,2003,38%,524,525
Montana,2003,26%,538,543
Ohio,2003,28%,536,541
Colorado,2003,27%,551,553
Idaho,2003,18%,540,540
West Virginia,2003,20%,522,510
Tennessee,2003,14%,568,560
New Mexico,2003,14%,548,540
Kentucky,2003,13%,554,552
Wyoming,2003,11%,548,549
Michigan,2003,11%,564,576
Illinois,2003,11%,583,596
Minnesota,2003,10%,582,591
Alabama,2003,10%,559,552
Kansas,2003,9%,578,582
Louisiana,2003,8%,563,559
Missouri,2003,8%,582,583
Nebraska,2003,8%,573,578
Oklahoma,2003,8%,569,562
Wisconsin,2003,7%,585,594
Utah,2003,7%,566,559
Arkansas,2003,6%,564,554
Iowa,2003,5%,586,597
South Dakota,2003,4%,588,588
Mississippi,2003,4%,565,551
North Dakota,2003,4%,602,613
All Students,2003,48%,507,519
New York,2002,79%,494,506
Connecticut,2002,83%,509,509
Massachusetts,2002,81%,512,516
New Jersey,2002,82%,498,513
New Hampshire,2002,73%,519,519
D.C.,2002,76%,480,473
Maine,2002,69%,503,502
Pennsylvania,2002,72%,498,500
Delaware,2002,69%,502,500
Georgia,2002,65%,489,491
Rhode Island,2002,73%,504,503
Virginia,2002,68%,510,506
North Carolina,2002,67%,493,505
Maryland,2002,67%,507,513
Florida,2002,57%,496,499
Vermont,2002,69%,512,510
Indiana,2002,62%,498,503
South Carolina,2002,59%,488,493
Hawaii,2002,53%,488,520
Oregon,2002,56%,524,528
Alaska,2002,52%,516,519
Texas,2002,55%,491,500
Washington,2002,54%,525,529
California,2002,52%,496,517
Nevada,2002,34%,509,518
Arizona,2002,36%,520,523
Montana,2002,23%,541,547
Ohio,2002,27%,533,540
Colorado,2002,28%,543,548
Idaho,2002,18%,539,541
West Virginia,2002,18%,525,515
Tennessee,2002,14%,562,555
New Mexico,2002,14%,551,543
Kentucky,2002,12%,550,552
Wyoming,2002,11%,531,537
Michigan,2002,11%,558,572
Illinois,2002,11%,578,596
Minnesota,2002,10%,581,591
Alabama,2002,9%,560,559
Kansas,2002,9%,578,580
Louisiana,2002,8%,561,559
Missouri,2002,8%,574,580
Nebraska,2002,8%,561,570
Oklahoma,2002,8%,565,562
Wisconsin,2002,7%,583,599
Utah,2002,6%,563,559
Arkansas,2002,5%,560,556
Iowa,2002,5%,591,602
South Dakota,2002,5%,576,586
Mississippi,2002,4%,559,547
North Dakota,2002,4%,597,610
All Students,2002,46%,504,516
New York,2001,77%,495,505
Connecticut,2001,82%,509,510
Massachusetts,2001,79%,511,515
New Jersey,2001,81%,499,513
New Hampshire,2001,72%,520,516
D.C.,2001,56%,482,474
Maine,2001,69%,506,500
Pennsylvania,2001,71%,500,499
Delaware,2001,67%,501,499
Georgia,2001,63%,491,489
Rhode Island,2001,71%,501,499
Virginia,2001,68%,510,501
North Carolina,2001,65%,493,499
Maryland,2001,65%,508,510
Florida,2001,54%,498,499
Vermont,2001,69%,511,506
Indiana,2001,60%,499,501
South Carolina,2001,57%,486,488
Hawaii,2001,52%,486,515
Oregon,2001,55%,526,526
Alaska,2001,51%,514,510
Texas,2001,53%,493,499
Washington,2001,53%,527,527
California,2001,51%,498,517
Nevada,2001,33%,509,515
Arizona,2001,34%,523,525
Montana,2001,23%,539,539
Ohio,2001,26%,534,539
Colorado,2001,31%,539,542
Idaho,2001,17%,543,542
West Virginia,2001,18%,527,512
Tennessee,2001,13%,562,553
New Mexico,2001,13%,551,542
Kentucky,2001,12%,550,550
Wyoming,2001,11%,547,545
Michigan,2001,11%,561,572
Illinois,2001,12%,576,589
Minnesota,2001,9%,580,589
Alabama,2001,9%,559,554
Kansas,2001,9%,577,580
Louisiana,2001,7%,564,562
Missouri,2001,8%,577,577
Nebraska,2001,8%,562,568
Oklahoma,2001,8%,567,561
Wisconsin,2001,6%,584,596
Utah,2001,5%,575,570
Arkansas,2001,6%,562,550
Iowa,2001,5%,593,603
South Dakota,2001,4%,577,582
Mississippi,2001,4%,566,551
North Dakota,2001,4%,592,599
All Students,2001,45%,506,514
New York,2000,0%,494,506
Connecticut,2000,0%,508,509
Massachusetts,2000,0%,511,513
New Jersey,2000,0%,498,513
New Hampshire,2000,0%,520,519
D.C.,2000,0%,494,486
Maine,2000,0%,504,500
Pennsylvania,2000,0%,498,497
Delaware,2000,0%,502,496
Georgia,2000,0%,488,486
Rhode Island,2000,0%,505,500
Virginia,2000,0%,509,500
North Carolina,2000,0%,492,496
Maryland,2000,0%,507,509
Florida,2000,0%,498,500
Vermont,2000,0%,513,508
Indiana,2000,0%,498,501
South Carolina,2000,0%,484,482
Hawaii,2000,0%,488,519
Oregon,2000,0%,527,527
Alaska,2000,0%,519,515
Texas,2000,0%,493,500
Washington,2000,0%,526,528
California,2000,0%,497,518
Nevada,2000,0%,510,517
Arizona,2000,0%,521,523
Montana,2000,0%,543,546
Ohio,2000,0%,533,539
Colorado,2000,0%,534,537
Idaho,2000,0%,540,541
West Virginia,2000,0%,526,511
Tennessee,2000,0%,563,553
New Mexico,2000,0%,549,543
Kentucky,2000,0%,548,550
Wyoming,2000,0%,545,545
Michigan,2000,0%,557,569
Illinois,2000,0%,568,586
Minnesota,2000,0%,581,594
Alabama,2000,0%,559,555
Kansas,2000,0%,574,580
Louisiana,2000,0%,562,558
Missouri,2000,0%,572,577
Nebraska,2000,0%,560,571
Oklahoma,2000,0%,563,560
Wisconsin,2000,0%,584,597
Utah,2000,0%,570,569
Arkansas,2000,0%,563,554
Iowa,2000,0%,589,600
South Dakota,2000,0%,587,588
Mississippi,2000,0%,562,549
North Dakota,2000,0%,588,609
All Students,2000,0%,505,514
New York,1999,0%,495,502
Connecticut,1999,0%,510,509
Massachusetts,1999,0%,511,511
New Jersey,1999,0%,498,510
New Hampshire,1999,0%,520,518
D.C.,1999,0%,494,478
Maine,1999,0%,507,503
Pennsylvania,1999,0%,498,495
Delaware,1999,0%,503,497
Georgia,1999,0%,487,482
Rhode Island,1999,0%,504,499
Virginia,1999,0%,508,499
North Carolina,1999,0%,493,493
Maryland,1999,0%,507,507
Florida,1999,0%,499,498
Vermont,1999,0%,514,506
Indiana,1999,0%,496,498
South Carolina,1999,0%,479,475
Hawaii,1999,0%,482,513
Oregon,1999,0%,525,525
Alaska,1999,0%,516,514
Texas,1999,0%,494,499
Washington,1999,0%,525,526
California,1999,0%,497,514
Nevada,1999,0%,512,517
Arizona,1999,0%,524,525
Montana,1999,0%,545,546
Ohio,1999,0%,534,538
Colorado,1999,0%,536,540
Idaho,1999,0%,542,540
West Virginia,1999,0%,527,512
Tennessee,1999,0%,559,553
New Mexico,1999,0%,549,542
Kentucky,1999,0%,547,547
Wyoming,1999,0%,546,551
Michigan,1999,0%,557,565
Illinois,1999,0%,569,585
Minnesota,1999,0%,586,598
Alabama,1999,0%,561,555
Kansas,1999,0%,578,576
Louisiana,1999,0%,561,558
Missouri,1999,0%,572,572
Nebraska,1999,0%,568,571
Oklahoma,1999,0%,567,560
Wisconsin,1999,0%,584,595
Utah,1999,0%,570,568
Arkansas,1999,0%,563,556
Iowa,1999,0%,594,598
South Dakota,1999,0%,585,588
Mississippi,1999,0%,563,548
North Dakota,1999,0%,594,605
All Students,1999,0%,505,511
New York,1998,76%,495,503
Connecticut,1998,80%,510,509
Massachusetts,1998,77%,508,508
New Jersey,1998,79%,497,508
New Hampshire,1998,74%,523,520
D.C.,1998,83%,488,476
Maine,1998,68%,504,501
Pennsylvania,1998,71%,497,495
Delaware,1998,70%,501,493
Georgia,1998,64%,486,482
Rhode Island,1998,72%,501,495
Virginia,1998,66%,507,499
North Carolina,1998,62%,490,492
Maryland,1998,65%,506,508
Florida,1998,52%,500,501
Vermont,1998,71%,508,504
Indiana,1998,59%,497,500
South Carolina,1998,61%,478,473
Hawaii,1998,55%,483,513
Oregon,1998,53%,528,528
Alaska,1998,52%,521,520
Texas,1998,51%,494,501
Washington,1998,53%,524,526
California,1998,47%,497,516
Nevada,1998,33%,510,513
Arizona,1998,32%,525,528
Montana,1998,24%,543,546
Ohio,1998,24%,536,540
Colorado,1998,31%,537,542
Idaho,1998,16%,545,544
West Virginia,1998,18%,525,513
Tennessee,1998,13%,564,557
New Mexico,1998,12%,554,551
Kentucky,1998,13%,547,550
Wyoming,1998,10%,548,546
Michigan,1998,11%,558,569
Illinois,1998,13%,564,581
Minnesota,1998,9%,585,598
Alabama,1998,8%,562,558
Kansas,1998,9%,582,585
Louisiana,1998,8%,562,558
Missouri,1998,8%,570,573
Nebraska,1998,8%,565,571
Oklahoma,1998,8%,568,564
Wisconsin,1998,7%,581,594
Utah,1998,4%,572,570
Arkansas,1998,6%,568,555
Iowa,1998,5%,593,601
South Dakota,1998,5%,584,581
Mississippi,1998,4%,562,549
North Dakota,1998,5%,590,599
All Students,1998,43%,505,512
New York,1997,0%,495,502
Connecticut,1997,0%,509,507
Massachusetts,1997,0%,508,508
New Jersey,1997,0%,497,508
New Hampshire,1997,0%,521,518
D.C.,1997,0%,490,475
Maine,1997,0%,507,504
Pennsylvania,1997,0%,498,495
Delaware,1997,0%,505,498
Georgia,1997,0%,486,481
Rhode Island,1997,0%,499,493
Virginia,1997,0%,506,497
North Carolina,1997,0%,490,488
Maryland,1997,0%,507,507
Florida,1997,0%,499,499
Vermont,1997,0%,508,502
Indiana,1997,0%,494,497
South Carolina,1997,0%,479,474
Hawaii,1997,0%,483,512
Oregon,1997,0%,525,524
Alaska,1997,0%,520,517
Texas,1997,0%,494,501
Washington,1997,0%,523,523
California,1997,0%,496,514
Nevada,1997,0%,508,509
Arizona,1997,0%,523,522
Montana,1997,0%,545,548
Ohio,1997,0%,535,536
Colorado,1997,0%,536,539
Idaho,1997,0%,544,539
West Virginia,1997,0%,524,508
Tennessee,1997,0%,564,556
New Mexico,1997,0%,554,545
Kentucky,1997,0%,548,546
